File,% covered,Lines,Relevant Lines,Lines covered,Lines missed
"./app/controllers/application_controller.rb",60,24,15,9,6
"./app/controllers/bank_accounts_controller.rb",34,78,38,13,25
"./app/controllers/categories_controller.rb",31,60,35,11,24
"./app/controllers/charts_controller.rb",60,10,5,3,2
"./app/controllers/concerns/date_intervalable.rb",54,26,13,7,6
"./app/controllers/concerns/localizable.rb",65,36,17,11,6
"./app/controllers/concerns/messageable.rb",62,32,13,8,5
"./app/controllers/concerns/timezoneable.rb",69,36,16,11,5
"./app/controllers/concerns/user_settings.rb",29,10,7,2,5
"./app/controllers/confirmations_controller.rb",20,25,15,3,12
"./app/controllers/goals_controller.rb",40,87,42,17,25
"./app/controllers/registrations_controller.rb",18,15,11,2,9
"./app/controllers/reports_controller.rb",60,9,5,3,2
"./app/controllers/settings_controller.rb",50,8,4,2,2
"./app/controllers/static_controller.rb",57,15,7,4,3
"./app/controllers/transactions_controller.rb",36,162,90,32,58
"./app/controllers/transfers_controller.rb",34,63,35,12,23
"./app/controllers/wizard_controller.rb",30,40,23,7,16
"./app/models/balance.rb",100,22,11,11,0
"./app/models/bank_account.rb",61,56,28,17,11
"./app/models/base_transaction.rb",68,90,44,30,14
"./app/models/category.rb",77,29,13,10,3
"./app/models/concerns/trashable.rb",100,25,11,11,0
"./app/models/goal.rb",100,12,8,8,0
"./app/models/recurrence.rb",26,70,42,11,31
"./app/models/transaction.rb",65,34,20,13,7
"./app/models/transfer.rb",59,48,27,16,11
"./app/poros/balance_calculator.rb",96,48,23,22,1
"./app/poros/balance_report_generator.rb",100,24,10,10,0
"./app/poros/recurrent_event.rb",100,4,2,2,0
"./app/poros/transaction_creator.rb",73,31,15,11,4
"./app/poros/transaction_list.rb",91,45,23,21,2
"./app/presenters/balance_history_chart_presenter.rb",63,50,24,15,9
"./app/presenters/category_chart_presenter.rb",100,40,16,16,0
"./app/presenters/monthly_balance_report_presenter.rb",100,15,8,8,0
